epoch,loss,reg_prop_pred_loss,val_loss,val_reg_prop_pred_loss,val_x_pred_categorical_accuracy,val_x_pred_loss,val_z_mean_log_var_loss,x_pred_categorical_accuracy,x_pred_loss,z_mean_log_var_loss
0,0.14700052706057704,0.29400001930979647,0.031377196139127934,0.06275357225352955,0.6463014793764684,1.4219798537873731,0.7936298263441656,0.5827461068386681,1.8260815114307263,0.9665676237594697
1,0.030063448521606296,0.06012566509462696,0.052280448934005706,0.10455983631389658,0.7094095662697074,0.9843690367703585,0.7368109201647571,0.6796118351371407,1.1159743927091448,0.8811517227823433
2,0.0198827571982567,0.03976370263817417,0.055913616912727504,0.11182558805364923,0.7104383147868913,0.9619662491316648,0.6390515347731482,0.69296019382316,1.0000239679933993,0.7625267482922573
3,0.016081661646543864,0.03216051569009129,0.05771536975330913,0.11542814632052,0.7129295548212897,0.9482748695870036,0.5657653827028176,0.6938369527371748,0.9893503274735818,0.6497055769753246
4,0.014129128027673198,0.02825380900336697,0.01133456272217109,0.02266501739966808,0.7133686714565631,0.944825191780464,0.49436218468184323,0.6945327060663106,0.9815351846586924,0.5764157505940831
5,0.013131509480220908,0.026255869918743208,0.0028296792921706187,0.005652764896122911,0.7139794430167404,0.9381734255662898,0.44804068186233953,0.69501831356294,0.9757391490107757,0.5272315672415792
6,0.01219360515218545,0.024375630828724012,0.007107568311879469,0.014204469312596875,0.7128438101601355,0.9274278719400623,0.41837048484492545,0.696312211694256,0.9678046375818966,0.49307188144789416
7,0.011551754023399084,0.023084759234609165,0.003880632522794389,0.007743574263643205,0.712565943445127,0.9266903206859667,0.4126626088754418,0.6982557307327947,0.9605096953093482,0.45894618833825385
8,0.011062981485719643,0.02209536402275966,0.017843174671312582,0.035657435636391344,0.7137784226653502,0.9191645482151779,0.3944738937407425,0.7000240798045463,0.9532017848970603,0.43700279289982186
9,0.010873417650647133,0.021697256279511166,0.005728637722810519,0.01141094306925523,0.7168116385174781,0.9055127406243196,0.3577226509445721,0.7012480647027318,0.9458172619779788,0.40593585002719484
10,0.010490408041097956,0.020900748141964794,0.004886155992448714,0.009697257908368387,0.7177222595386898,0.9040619583473992,0.3239572639625097,0.7025369268314929,0.9402674424989133,0.3697875463062367
11,0.01007582742380814,0.020023256896030912,0.004019609755673206,0.007920750824868986,0.7190500132201874,0.8979870028717002,0.26526289218172583,0.7035506227848467,0.9360016719205988,0.3247442969129232
12,0.00982590509432469,0.01944636564826063,0.01593771475588077,0.031682351460085086,0.7176447406257551,0.9015655397754354,0.23619945531653375,0.7046381709906013,0.9318627533762336,0.27877529876039
13,0.009738812254655756,0.01914942879441448,0.004632994935838217,0.008959833213329776,0.719181231923939,0.8943326442512041,0.18843029040036743,0.70534894691884,0.9288554410518439,0.23185143479940828
14,0.00969839399295403,0.018871126630236983,0.016474233023323043,0.03245915437942928,0.7217058653069526,0.8848168407518839,0.1538539433602205,0.705673118862064,0.9264672495577692,0.18936355950589404
15,0.009613694361775643,0.018386674354254347,0.025455861582814418,0.05012303104950595,0.7194263796830914,0.8958484201701646,0.10913045635235678,0.706943724599402,0.9212058885050309,0.1500616200961981
16,0.009923776238542214,0.018499965919796215,0.015545242153991437,0.029814295019455178,0.7200480585860223,0.8885869101150748,0.08777871835477573,0.7079438899269551,0.9166813059942114,0.11430768387343003
17,0.010282141131060771,0.018395764302241116,0.0036426113952028076,0.005268305747712166,0.7261935208261627,0.8646809956462113,0.06211542059696212,0.7093424246894998,0.9104517033198013,0.08600705544685514
18,0.010670053934449019,0.01785013394954661,0.01976332619555832,0.03623474984592998,0.727943782339391,0.8610054979619292,0.048056438853292124,0.7115283661967149,0.9014641121903822,0.062295408359567615
